,,,,
Sala,Hora,Tema,Ponente,Observaciones
1,2:00 P.M.,Introducción al evento,Organizadores BarCamp,
1,2:15  P.M.,Uso de software libre y aplicaciones de código abierto,Jamileth Velásquez,
1,2:45 P.M.,Software libre y su aplicación en la arquitectura,Hector David Hernández,
1,3:15 P.M.,"Realidad Aumentada, aplicaciones",Eduardo Irías,
1,3:45 P.M.,Desarrollo con JavaScript y Node.js,Alejandro Morales,
,4:15 P.M,Break / Networking,Todos los participantes,
1,4:45 P.M.,Hacking del lenguaje corporal,Reniery O'Hara,
1,5:15 P.M.,Herramientas para mejorar la experiencia al desarrollar aplicaciones y sitios web,Cristian Garner,
1,5:45 P.M.,El modelo de programación GPGPU,José Alejandro Matute,
1,6:15 P.M.,Titulo pendiente,Luis Felipe Borjas,
1,6:45 P.M.,Interfaces alternativas para la expresión artística,Didier Cabrera,
1,7:15 P.M.,Rescate de la Antigua Penitenciería Central,Colectivo Acción Hormiga,
1,7:45 P. M.,VJ y Mapping,Gabriel Vallecillo,
1,8:15 P.M.,Cierre,Organizadores BarCamp,
